rank,needs,theme,region,votes,counterparts,perc,check,times_selected
1,Trained staff remain in the institution,Safety and Security,Europe,106,188,56.3829787234043,100,132
1,Trained staff remain in the institution,Energy,Asia and the Pacific,19,35,54.2857142857143,100,24
1,Trained staff remain in the institution,Energy,Africa,38,71,53.5211267605634,100,53
1,Trained staff remain in the institution,Industrial Applications/Radiation technology,Europe,22,42,52.3809523809524,100,27
1,Trained staff remain in the institution,Safety and Security,Africa,102,204,50,100,140
1,Trained staff remain in the institution,Industrial Applications/Radiation technology,Africa,39,81,48.1481481481482,100,49
1,Trained staff remain in the institution,Energy,Europe,25,52,48.0769230769231,100,38
1,Trained staff remain in the institution,Water and the Environment,Europe,29,61,47.5409836065574,100,40
1,Trained staff remain in the institution,Safety and Security,Latin America and the Caribbean,41,89,46.0674157303371,100,62
1,Trained staff remain in the institution,Safety and Security,Asia and the Pacific,52,114,45.6140350877193,100,71
1,Trained staff remain in the institution,Water and the Environment,Latin America and the Caribbean,46,102,45.0980392156863,100,63
1,Trained staff applying knowledge acquired,Energy,Latin America and the Caribbean,13,29,44.8275862068966,100,25
1,Trained staff remain in the institution,Water and the Environment,Africa,37,86,43.0232558139535,100,51
1,Trained staff remain in the institution,Food and Agriculture,Latin America and the Caribbean,54,127,42.5196850393701,100,79
1,Trained staff remain in the institution,Health and Nutrition,Europe,52,123,42.2764227642277,100,81
1,Trained staff remain in the institution,Food and Agriculture,Europe,24,57,42.1052631578947,100,36
1,Trained staff remain in the institution,Health and Nutrition,Africa,88,210,41.9047619047619,100,121
1,Trained staff remain in the institution,Health and Nutrition,Latin America and the Caribbean,73,176,41.4772727272727,100,111
1,Trained staff remain in the institution,Health and Nutrition,Asia and the Pacific,66,161,40.9937888198758,100,94
1,Trained staff remain in the institution,Food and Agriculture,Asia and the Pacific,64,158,40.5063291139241,100,83
1,Trained staff remain in the institution,Food and Agriculture,Africa,81,200,40.5,100,106
1,Trained staff remain in the institution,Industrial Applications/Radiation technology,Latin America and the Caribbean,22,57,38.5964912280702,100,33
1,Trained staff remain in the institution,Industrial Applications/Radiation technology,Asia and the Pacific,31,85,36.4705882352941,100,47
1,Trained staff remain in the institution,Water and the Environment,Asia and the Pacific,28,78,35.8974358974359,100,38
1,Trained staff applying knowledge acquired,Health and Nutrition,Asia and the Pacific,50,161,31.055900621118,100,128
1,Trained staff remain in the institution,Energy,Latin America and the Caribbean,9,29,31.0344827586207,100,18
1,Trained staff applying knowledge acquired,Food and Agriculture,Latin America and the Caribbean,38,127,29.9212598425197,100,95
1,Trained staff applying knowledge acquired,Health and Nutrition,Europe,36,123,29.2682926829268,100,100
1,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Latin America and the Caribbean,16,57,28.0701754385965,100,39
1,Trained staff applying knowledge acquired,Safety and Security,Asia and the Pacific,32,114,28.0701754385965,100,84
1,Trained staff applying knowledge acquired,Water and the Environment,Europe,17,61,27.8688524590164,100,48
1,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Asia and the Pacific,23,85,27.0588235294118,100,65
1,Trained staff applying knowledge acquired,Energy,Europe,14,52,26.9230769230769,100,43
1,Trained staff applying knowledge acquired,Food and Agriculture,Europe,15,57,26.3157894736842,100,38
1,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Europe,11,42,26.1904761904762,100,32
1,Trained staff applying knowledge acquired,Energy,Asia and the Pacific,9,35,25.7142857142857,100,25
1,Trained staff applying knowledge acquired,Health and Nutrition,Africa,54,210,25.7142857142857,100,154
1,Trained staff applying knowledge acquired,Food and Agriculture,Asia and the Pacific,40,158,25.3164556962025,100,111
1,Trained staff applying knowledge acquired,Water and the Environment,Asia and the Pacific,19,78,24.3589743589744,100,57
1,Trained staff applying knowledge acquired,Safety and Security,Europe,45,188,23.936170212766,100,139
1,Trained staff applying knowledge acquired,Health and Nutrition,Latin America and the Caribbean,42,176,23.8636363636364,100,121
1,Trained staff applying knowledge acquired,Safety and Security,Latin America and the Caribbean,21,89,23.5955056179775,100,72
1,Trained staff applying knowledge acquired,Safety and Security,Africa,48,204,23.5294117647059,100,156
1,Trained staff applying knowledge acquired,Food and Agriculture,Africa,47,200,23.5,100,149
1,Trained staff applying knowledge acquired,Water and the Environment,Latin America and the Caribbean,22,102,21.5686274509804,100,63
1,Trained staff applying knowledge acquired,Energy,Africa,15,71,21.1267605633803,100,52
1,Appropriate operational funding,Water and the Environment,Asia and the Pacific,15,78,19.2307692307692,100,50
1,Trained staff applying knowledge acquired,Water and the Environment,Africa,16,86,18.6046511627907,100,56
1,Technology relevant to country priorities,Industrial Applications/Radiation technology,Asia and the Pacific,15,85,17.6470588235294,100,50
1,Technology relevant to country priorities,Water and the Environment,Africa,15,86,17.4418604651163,100,43
1,Appropriate operational funding,Energy,Latin America and the Caribbean,5,29,17.2413793103448,100,14
1,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Africa,13,81,16.0493827160494,100,60
1,Appropriate operational funding,Food and Agriculture,Asia and the Pacific,25,158,15.8227848101266,100,101
1,Appropriate operational funding,Water and the Environment,Latin America and the Caribbean,16,102,15.6862745098039,100,61
1,Appropriate operational funding,Food and Agriculture,Africa,30,200,15,100,112
1,Equipment properly maintained,Food and Agriculture,Africa,30,200,15,100,129
1,Technology relevant to country priorities,Health and Nutrition,Latin America and the Caribbean,26,176,14.7727272727273,100,105
1,Technology relevant to country priorities,Energy,Asia and the Pacific,5,35,14.2857142857143,100,18
1,Technology relevant to country priorities,Health and Nutrition,Asia and the Pacific,23,161,14.2857142857143,100,85
1,Technology relevant to country priorities,Industrial Applications/Radiation technology,Latin America and the Caribbean,8,57,14.0350877192982,100,26
1,Equipment properly maintained,Health and Nutrition,Europe,16,123,13.0081300813008,100,66
1,Technology relevant to country priorities,Health and Nutrition,Europe,16,123,13.0081300813008,100,56
1,Equipment properly maintained,Health and Nutrition,Africa,27,210,12.8571428571429,100,145
1,Equipment properly maintained,Water and the Environment,Africa,11,86,12.7906976744186,100,59
1,Appropriate operational funding,Food and Agriculture,Latin America and the Caribbean,16,127,12.5984251968504,100,60
1,Equipment properly maintained,Safety and Security,Latin America and the Caribbean,11,89,12.3595505617978,100,44
1,Equipment properly maintained,Industrial Applications/Radiation technology,Africa,10,81,12.3456790123457,100,50
1,Technology relevant to country priorities,Industrial Applications/Radiation technology,Africa,10,81,12.3456790123457,100,45
1,Appropriate operational funding,Food and Agriculture,Europe,7,57,12.280701754386,100,30
1,Equipment properly maintained,Industrial Applications/Radiation technology,Asia and the Pacific,10,85,11.7647058823529,100,47
1,Technology relevant to country priorities,Energy,Europe,6,52,11.5384615384615,100,29
1,Technology relevant to country priorities,Water and the Environment,Asia and the Pacific,9,78,11.5384615384615,100,33
1,Appropriate operational funding,Water and the Environment,Europe,7,61,11.4754098360656,100,32
1,Equipment properly maintained,Health and Nutrition,Latin America and the Caribbean,20,176,11.3636363636364,100,94
1,Technology relevant to country priorities,Energy,Africa,8,71,11.2676056338028,100,33
1,Equipment properly maintained,Food and Agriculture,Europe,6,57,10.5263157894737,100,32
1,Technology relevant to country priorities,Safety and Security,Asia and the Pacific,12,114,10.5263157894737,100,48
1,Appropriate operational funding,Health and Nutrition,Africa,22,210,10.4761904761905,100,98
1,Technology relevant to country priorities,Food and Agriculture,Latin America and the Caribbean,13,127,10.2362204724409,100,68
1,Technology relevant to country priorities,Safety and Security,Latin America and the Caribbean,9,89,10.1123595505618,100,46
1,Appropriate operational funding,Industrial Applications/Radiation technology,Africa,8,81,9.87654320987654,100,31
1,Equipment properly maintained,Water and the Environment,Europe,6,61,9.83606557377049,100,37
1,Appropriate operational funding,Safety and Security,Africa,20,204,9.80392156862745,100,81
1,Technology relevant to country priorities,Water and the Environment,Latin America and the Caribbean,10,102,9.80392156862745,100,35
1,Equipment properly maintained,Food and Agriculture,Asia and the Pacific,15,158,9.49367088607595,100,83
1,Appropriate operational funding,Health and Nutrition,Asia and the Pacific,15,161,9.3167701863354,100,80
1,Technology relevant to country priorities,Safety and Security,Europe,17,188,9.04255319148936,100,80
1,Equipment properly maintained,Water and the Environment,Asia and the Pacific,7,78,8.97435897435897,100,47
1,Technology relevant to country priorities,Food and Agriculture,Asia and the Pacific,14,158,8.86075949367089,100,76
1,Equipment properly maintained,Safety and Security,Africa,18,204,8.82352941176471,100,135
1,Appropriate operational funding,Industrial Applications/Radiation technology,Latin America and the Caribbean,5,57,8.7719298245614,100,24
1,Technology relevant to country priorities,Food and Agriculture,Europe,5,57,8.7719298245614,100,24
1,Technology relevant to country priorities,Health and Nutrition,Africa,18,210,8.57142857142857,100,89
1,Appropriate operational funding,Health and Nutrition,Latin America and the Caribbean,15,176,8.52272727272727,100,67
1,Appropriate operational funding,Energy,Africa,6,71,8.45070422535211,100,37
1,Appropriate operational funding,Water and the Environment,Africa,7,86,8.13953488372093,100,44
1,Appropriate operational funding,Safety and Security,Asia and the Pacific,9,114,7.89473684210526,100,63
1,Appropriate operational funding,Safety and Security,Latin America and the Caribbean,7,89,7.86516853932584,100,34
1,Equipment properly maintained,Water and the Environment,Latin America and the Caribbean,8,102,7.84313725490196,100,66
1,Appropriate operational funding,Energy,Europe,4,52,7.69230769230769,100,22
1,Technology relevant to country priorities,Safety and Security,Africa,15,204,7.35294117647059,100,78
1,Appropriate operational funding,Industrial Applications/Radiation technology,Europe,3,42,7.14285714285714,100,13
1,Equipment properly maintained,Industrial Applications/Radiation technology,Europe,3,42,7.14285714285714,100,29
1,Technology relevant to country priorities,Industrial Applications/Radiation technology,Europe,3,42,7.14285714285714,100,18
1,Appropriate operational funding,Industrial Applications/Radiation technology,Asia and the Pacific,6,85,7.05882352941176,100,41
1,Equipment properly maintained,Industrial Applications/Radiation technology,Latin America and the Caribbean,4,57,7.01754385964912,100,32
1,Equipment properly maintained,Safety and Security,Asia and the Pacific,8,114,7.01754385964912,100,54
1,Equipment properly maintained,Energy,Latin America and the Caribbean,2,29,6.89655172413793,100,9
1,Equipment properly maintained,Safety and Security,Europe,11,188,5.85106382978723,100,93
1,Equipment properly maintained,Energy,Europe,3,52,5.76923076923077,100,11
1,Technology relevant to country priorities,Food and Agriculture,Africa,11,200,5.5,100,76
1,Appropriate operational funding,Safety and Security,Europe,8,188,4.25531914893617,100,81
1,Equipment properly maintained,Food and Agriculture,Latin America and the Caribbean,5,127,3.93700787401575,100,56
1,Equipment properly maintained,Health and Nutrition,Asia and the Pacific,6,161,3.72670807453416,100,76
1,Others,Industrial Applications/Radiation technology,Latin America and the Caribbean,2,57,3.50877192982456,100,6
1,Technology relevant to country priorities,Water and the Environment,Europe,2,61,3.27868852459016,100,17
1,Appropriate operational funding,Energy,Asia and the Pacific,1,35,2.85714285714286,100,14
1,Equipment properly maintained,Energy,Asia and the Pacific,1,35,2.85714285714286,100,12
1,Equipment properly maintained,Energy,Africa,2,71,2.8169014084507,100,22
1,Others,Energy,Africa,2,71,2.8169014084507,100,4
1,Appropriate operational funding,Health and Nutrition,Europe,3,123,2.4390243902439,100,48
1,Others,Industrial Applications/Radiation technology,Africa,1,81,1.23456790123457,100,2
1,Others,Safety and Security,Asia and the Pacific,1,114,0.87719298245614,100,6
1,Others,Food and Agriculture,Latin America and the Caribbean,1,127,0.78740157480315,100,6
1,Others,Health and Nutrition,Asia and the Pacific,1,161,0.62111801242236,100,5
1,Others,Safety and Security,Europe,1,188,0.531914893617021,100,9
1,Others,Food and Agriculture,Africa,1,200,0.5,100,6
1,Others,Safety and Security,Africa,1,204,0.490196078431373,100,3
1,Others,Health and Nutrition,Africa,1,210,0.476190476190476,100,5
2,Trained staff applying knowledge acquired,Safety and Security,Latin America and the Caribbean,43,88,48.8636363636364,100,72
2,Trained staff applying knowledge acquired,Energy,Asia and the Pacific,15,31,48.3870967741936,100,25
2,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Africa,38,79,48.1012658227848,100,60
2,Trained staff applying knowledge acquired,Energy,Africa,32,67,47.7611940298507,100,52
2,Trained staff applying knowledge acquired,Safety and Security,Africa,82,198,41.4141414141414,100,156
2,Trained staff applying knowledge acquired,Water and the Environment,Asia and the Pacific,31,76,40.7894736842105,100,57
2,Trained staff applying knowledge acquired,Safety and Security,Europe,72,178,40.4494382022472,100,139
2,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Asia and the Pacific,33,85,38.8235294117647,100,65
2,Trained staff applying knowledge acquired,Energy,Europe,19,50,38,100,43
2,Trained staff applying knowledge acquired,Health and Nutrition,Europe,45,119,37.8151260504202,100,100
2,Trained staff applying knowledge acquired,Safety and Security,Asia and the Pacific,41,109,37.6146788990826,100,84
2,Trained staff applying knowledge acquired,Health and Nutrition,Asia and the Pacific,59,157,37.5796178343949,100,128
2,Trained staff applying knowledge acquired,Food and Agriculture,Latin America and the Caribbean,44,121,36.3636363636364,100,95
2,Equipment properly maintained,Water and the Environment,Latin America and the Caribbean,35,98,35.7142857142857,100,66
2,Trained staff applying knowledge acquired,Water and the Environment,Africa,30,86,34.8837209302326,100,56
2,Trained staff applying knowledge acquired,Food and Agriculture,Africa,67,194,34.5360824742268,100,149
2,Trained staff applying knowledge acquired,Health and Nutrition,Africa,70,203,34.4827586206897,100,154
2,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Europe,14,41,34.1463414634146,100,32
2,Trained staff applying knowledge acquired,Industrial Applications/Radiation technology,Latin America and the Caribbean,18,53,33.9622641509434,100,39
2,Equipment properly maintained,Health and Nutrition,Africa,68,203,33.4975369458128,100,145
2,Equipment properly maintained,Water and the Environment,Africa,28,86,32.5581395348837,100,59
2,Trained staff applying knowledge acquired,Food and Agriculture,Asia and the Pacific,47,151,31.1258278145695,100,111
2,Equipment properly maintained,Water and the Environment,Europe,18,58,31.0344827586207,100,37
2,Trained staff applying knowledge acquired,Water and the Environment,Europe,18,58,31.0344827586207,100,48
2,Equipment properly maintained,Food and Agriculture,Africa,58,194,29.8969072164948,100,129
2,Trained staff applying knowledge acquired,Health and Nutrition,Latin America and the Caribbean,51,171,29.8245614035088,100,121
2,Equipment properly maintained,Safety and Security,Africa,58,198,29.2929292929293,100,135
2,Equipment properly maintained,Industrial Applications/Radiation technology,Europe,12,41,29.2682926829268,100,29
2,Trained staff applying knowledge acquired,Water and the Environment,Latin America and the Caribbean,28,98,28.5714285714286,100,63
2,Equipment properly maintained,Food and Agriculture,Latin America and the Caribbean,34,121,28.099173553719,100,56
2,Equipment properly maintained,Food and Agriculture,Europe,15,54,27.7777777777778,100,32
2,Equipment properly maintained,Water and the Environment,Asia and the Pacific,21,76,27.6315789473684,100,47
2,Trained staff remain in the institution,Energy,Latin America and the Caribbean,8,29,27.5862068965517,100,18
2,Equipment properly maintained,Industrial Applications/Radiation technology,Africa,21,79,26.5822784810127,100,50
2,Equipment properly maintained,Food and Agriculture,Asia and the Pacific,37,151,24.5033112582781,100,83
2,Appropriate operational funding,Energy,Latin America and the Caribbean,7,29,24.1379310344828,100,14
2,Trained staff applying knowledge acquired,Energy,Latin America and the Caribbean,7,29,24.1379310344828,100,25
2,Trained staff applying knowledge acquired,Food and Agriculture,Europe,13,54,24.0740740740741,100,38
2,Equipment properly maintained,Health and Nutrition,Latin America and the Caribbean,40,171,23.3918128654971,100,94
2,Appropriate operational funding,Food and Agriculture,Asia and the Pacific,35,151,23.1788079470199,100,101
2,Equipment properly maintained,Safety and Security,Europe,41,178,23.0337078651685,100,93
2,Equipment properly maintained,Industrial Applications/Radiation technology,Latin America and the Caribbean,12,53,22.6415094339623,100,32
2,Equipment properly maintained,Energy,Asia and the Pacific,7,31,22.5806451612903,100,12
2,Appropriate operational funding,Industrial Applications/Radiation technology,Asia and the Pacific,19,85,22.3529411764706,100,41
2,Trained staff remain in the institution,Food and Agriculture,Europe,12,54,22.2222222222222,100,36
2,Technology relevant to country priorities,Energy,Europe,11,50,22,100,29
2,Equipment properly maintained,Health and Nutrition,Asia and the Pacific,34,157,21.656050955414,100,76
2,Appropriate operational funding,Safety and Security,Asia and the Pacific,23,109,21.1009174311927,100,63
2,Technology relevant to country priorities,Energy,Latin America and the Caribbean,6,29,20.6896551724138,100,14
2,Appropriate operational funding,Energy,Europe,10,50,20,100,22
2,Appropriate operational funding,Water and the Environment,Latin America and the Caribbean,19,98,19.3877551020408,100,61
2,Equipment properly maintained,Health and Nutrition,Europe,23,119,19.327731092437,100,66
2,Equipment properly maintained,Industrial Applications/Radiation technology,Asia and the Pacific,16,85,18.8235294117647,100,47
2,Technology relevant to country priorities,Health and Nutrition,Latin America and the Caribbean,32,171,18.7134502923977,100,105
2,Equipment properly maintained,Safety and Security,Asia and the Pacific,20,109,18.348623853211,100,54
2,Appropriate operational funding,Water and the Environment,Asia and the Pacific,13,76,17.1052631578947,100,50
2,Technology relevant to country priorities,Industrial Applications/Radiation technology,Europe,7,41,17.0731707317073,100,18
2,Equipment properly maintained,Safety and Security,Latin America and the Caribbean,15,88,17.0454545454545,100,44
2,Appropriate operational funding,Food and Agriculture,Latin America and the Caribbean,20,121,16.5289256198347,100,60
2,Technology relevant to country priorities,Energy,Africa,11,67,16.4179104477612,100,33
2,Appropriate operational funding,Safety and Security,Europe,29,178,16.2921348314607,100,81
2,Trained staff remain in the institution,Health and Nutrition,Europe,19,119,15.9663865546218,100,81
2,Appropriate operational funding,Health and Nutrition,Latin America and the Caribbean,27,171,15.7894736842105,100,67
2,Technology relevant to country priorities,Health and Nutrition,Asia and the Pacific,24,157,15.2866242038217,100,85
2,Technology relevant to country priorities,Food and Agriculture,Asia and the Pacific,23,151,15.2317880794702,100,76
2,Appropriate operational funding,Health and Nutrition,Europe,18,119,15.1260504201681,100,48
2,Appropriate operational funding,Water and the Environment,Africa,13,86,15.1162790697674,100,44
